,emotion,statements,situation,gender
datasources\LDC_male\wav\1AX1s0020.wav,anxiety,eight hundred eight,conversation,male
datasources\LDC_male\wav\1AX1s0021.wav,anxiety,eight hundred eight,conversation,male
datasources\LDC_male\wav\1AX1s0040.wav,anxiety,four thousand eight,conversation,male
datasources\LDC_male\wav\1AX1s0060.wav,anxiety,nine thousand six,conversation,male
datasources\LDC_male\wav\1AX1s0061.wav,anxiety,nine thousand six,conversation,male
datasources\LDC_male\wav\1AX1s0080.wav,anxiety,six thousand twelve,conversation,male
datasources\LDC_male\wav\1AX1s0081.wav,anxiety,six thousand twelve,conversation,male
datasources\LDC_male\wav\1AX1s0090.wav,anxiety,three thousand eight,conversation,male
datasources\LDC_male\wav\1AX1s0091.wav,anxiety,three thousand eight,conversation,male
datasources\LDC_male\wav\1AX1s3450.wav,anxiety,may twenty-third,conversation,male
datasources\LDC_male\wav\1BD1s0100.wav,boredom,april fifteenth,conversation,male
datasources\LDC_male\wav\1BD1s0101.wav,boredom,april fifteenth,conversation,male
datasources\LDC_male\wav\1BD1s0110.wav,boredom,eight thousand six,conversation,male
datasources\LDC_male\wav\1BD1s0111.wav,boredom,eight thousand six,conversation,male
datasources\LDC_male\wav\1BD1s0120.wav,boredom,five thousand twelve,conversation,male
datasources\LDC_male\wav\1BD1s0150.wav,boredom,nine hundred four,conversation,male
datasources\LDC_male\wav\1BD1s0151.wav,boredom,nine hundred four,conversation,male
datasources\LDC_male\wav\1BD1s0160.wav,boredom,october sixth,conversation,male
datasources\LDC_male\wav\1BD1s0180.wav,boredom,six hundred six,conversation,male
datasources\LDC_male\wav\1BD1s0181.wav,boredom,six hundred six,conversation,male
datasources\LDC_male\wav\1BD1s0190.wav,boredom,thirteen hundred,conversation,male
datasources\LDC_male\wav\1BD1s0200.wav,boredom,two hundred one,conversation,male
datasources\LDC_male\wav\1BD1s0201.wav,boredom,two hundred one,conversation,male
datasources\LDC_male\wav\1BD1s3360.wav,boredom,march twenty-sixth,conversation,male
datasources\LDC_male\wav\1DG1s0420.wav,disgust,april second,conversation,male
datasources\LDC_male\wav\1DG1s0421.wav,disgust,april second,conversation,male
datasources\LDC_male\wav\1DG1s0422.wav,disgust,april second,conversation,male
datasources\LDC_male\wav\1DG1s0423.wav,disgust,april second,conversation,male
datasources\LDC_male\wav\1DG1s0424.wav,disgust,april second,conversation,male
datasources\LDC_male\wav\1DG1s0425.wav,disgust,april second,conversation,male
datasources\LDC_male\wav\1DG1s0430.wav,disgust,eight thousand twelve,conversation,male
datasources\LDC_male\wav\1DG1s0431.wav,disgust,eight thousand twelve,conversation,male
datasources\LDC_male\wav\1DG1s0432.wav,disgust,eight thousand twelve,conversation,male
datasources\LDC_male\wav\1DG1s0433.wav,disgust,eight thousand twelve,conversation,male
