,emotion,statements,gender
datasources\EMO_DB\EMO_DB_DATA\wav\08a01Ab.wav,anxiety/fear,The tablecloth is lying on the fridge,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a01Fd.wav,happiness,The tablecloth is lying on the fridge,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a01Lc.wav,boredom,The tablecloth is lying on the fridge,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a01Na.wav,neutral,The tablecloth is lying on the fridge,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a01Wa.wav,anger,The tablecloth is lying on the fridge,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a01Wc.wav,anger,The tablecloth is lying on the fridge,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a02Ab.wav,anxiety/fear,She wants to hand that in on Wednesday,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a02Ac.wav,anxiety/fear,She wants to hand that in on Wednesday,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a02Fe.wav,happiness,She wants to hand that in on Wednesday,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a02La.wav,boredom,She wants to hand that in on Wednesday,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a02Na.wav,neutral,She wants to hand that in on Wednesday,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a02Tb.wav,sadness,She wants to hand that in on Wednesday,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a02Wc.wav,anger,She wants to hand that in on Wednesday,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a04Ff.wav,happiness,I could tell him Tonight,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a04La.wav,boredom,I could tell him Tonight,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a04Nc.wav,neutral,I could tell him Tonight,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a04Tb.wav,sadness,I could tell him Tonight,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a04Wc.wav,anger,I could tell him Tonight,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a05Fe.wav,happiness,The black piece of paper is up there next to the piece of wood,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a05Lc.wav,boredom,The black piece of paper is up there next to the piece of wood,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a05Nb.wav,neutral,The black piece of paper is up there next to the piece of wood,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a05Ta.wav,sadness,The black piece of paper is up there next to the piece of wood,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a05Wa.wav,anger,The black piece of paper is up there next to the piece of wood,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a07Fd.wav,happiness,It will be ready in seven hours,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a07La.wav,boredom,It will be ready in seven hours,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a07Na.wav,neutral,It will be ready in seven hours,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a07Ta.wav,sadness,It will be ready in seven hours,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a07Tb.wav,sadness,It will be ready in seven hours,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a07Wc.wav,anger,It will be ready in seven hours,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b01Aa.wav,anxiety/fear,What kind of bags are there under the table,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b01Fd.wav,happiness,What kind of bags are there under the table,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b01Fe.wav,happiness,What kind of bags are there under the table,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b01Lb.wav,boredom,What kind of bags are there under the table,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b01Na.wav,neutral,What kind of bags are there under the table,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b01Wa.wav,anger,What kind of bags are there under the table,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b02Ff.wav,happiness,They just carried it up and now they're going down again,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b02La.wav,boredom,They just carried it up and now they're going down again,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b02Nb.wav,neutral,They just carried it up and now they're going down again,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b02Tc.wav,sadness,They just carried it up and now they're going down again,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b02Wd.wav,anger,They just carried it up and now they're going down again,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b03Fe.wav,happiness,I used to go home on the weekends and visit Agnes,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b03Lc.wav,boredom,I used to go home on the weekends and visit Agnes,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b03Nb.wav,neutral,I used to go home on the weekends and visit Agnes,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b03Tc.wav,sadness,I used to go home on the weekends and visit Agnes,female
